unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1.64838E+12,3/27/2022 10:00,MATIC/USD,1.62206,1.63405,1.62206,1.63405,29277.82608,47841.4317
1.64838E+12,3/27/2022 11:00,MATIC/USD,1.63405,1.63405,1.6249,1.62649,11776.93714,19155.0705
1.64838E+12,3/27/2022 12:00,MATIC/USD,1.62649,1.62712,1.6063,1.60709,18326.19807,29451.84966
1.64839E+12,3/27/2022 13:00,MATIC/USD,1.60709,1.62021,1.60397,1.61888,54693.01233,88541.4238
1.64839E+12,3/27/2022 14:00,MATIC/USD,1.61888,1.63041,1.61857,1.62732,19611.60948,31914.36434
1.64839E+12,3/27/2022 15:00,MATIC/USD,1.62732,1.65,1.6196,1.64634,39265.09223,64643.69194
1.6484E+12,3/27/2022 16:00,MATIC/USD,1.64634,1.65348,1.64256,1.64975,99810.22551,164661.9195
1.6484E+12,3/27/2022 17:00,MATIC/USD,1.64975,1.64975,1.63858,1.64448,37583.83198,61805.86001
1.6484E+12,3/27/2022 18:00,MATIC/USD,1.64448,1.6527,1.64141,1.6466,73324.9581,120736.876
1.64841E+12,3/27/2022 19:00,MATIC/USD,1.6466,1.65625,1.6466,1.65619,118469.4711,196207.9534
1.64841E+12,3/27/2022 20:00,MATIC/USD,1.65619,1.67942,1.64661,1.67328,361795.6413,605385.4106
1.64841E+12,3/27/2022 21:00,MATIC/USD,1.67328,1.68754,1.66494,1.68541,19258.38851,32458.28057
1.64842E+12,3/27/2022 22:00,MATIC/USD,1.68541,1.68813,1.67493,1.67989,17785.17253,29877.13348
1.64842E+12,3/27/2022 23:00,MATIC/USD,1.67989,1.69636,1.67989,1.69487,47684.75161,80819.45496
1.64843E+12,3/28/2022 0:00,MATIC/USD,1.69487,1.69796,1.68233,1.69609,75738.03913,128458.5308
1.64843E+12,3/28/2022 1:00,MATIC/USD,1.69609,1.69638,1.68717,1.68935,16440.68949,27774.07878
1.64843E+12,3/28/2022 2:00,MATIC/USD,1.68935,1.69724,1.68841,1.69567,20727.94871,35147.76078
1.64844E+12,3/28/2022 3:00,MATIC/USD,1.69567,1.7,1.69465,1.69995,20171.28582,34290.17733
1.64844E+12,3/28/2022 4:00,MATIC/USD,1.69995,1.70124,1.69035,1.70121,27777.28112,47254.98841
1.64844E+12,3/28/2022 5:00,MATIC/USD,1.70121,1.71301,1.69716,1.71298,26709.86901,45753.47141
1.64845E+12,3/28/2022 6:00,MATIC/USD,1.71298,1.71312,1.68487,1.69149,74592.07203,126171.7439
1.64845E+12,3/28/2022 7:00,MATIC/USD,1.69149,1.70731,1.691,1.70262,17021.34595,28980.88405
1.64845E+12,3/28/2022 8:00,MATIC/USD,1.70262,1.70733,1.69352,1.70673,18723.04131,31955.1763
1.64846E+12,3/28/2022 9:00,MATIC/USD,1.70673,1.72341,1.70673,1.72112,31711.03912,54578.50366
1.64846E+12,3/28/2022 10:00,MATIC/USD,1.72112,1.72874,1.71649,1.72054,20994.66681,36122.16403
1.64847E+12,3/28/2022 11:00,MATIC/USD,1.72054,1.72861,1.71893,1.72398,8000.276488,13792.31666
1.64847E+12,3/28/2022 12:00,MATIC/USD,1.72398,1.72666,1.71163,1.71591,24046.10363,41260.94967
1.64847E+12,3/28/2022 13:00,MATIC/USD,1.71591,1.73409,1.71375,1.73263,93744.95321,162425.3183
1.64848E+12,3/28/2022 14:00,MATIC/USD,1.73263,1.73263,1.70882,1.72938,32732.73865,56607.34357
1.64848E+12,3/28/2022 15:00,MATIC/USD,1.72938,1.7311,1.70296,1.70474,33649.62467,57363.86115
1.64848E+12,3/28/2022 16:00,MATIC/USD,1.70474,1.7119,1.68551,1.70862,74848.95545,127888.4223
1.64849E+12,3/28/2022 17:00,MATIC/USD,1.70862,1.72081,1.69839,1.71955,24058.87735,41370.44255
1.64849E+12,3/28/2022 18:00,MATIC/USD,1.71955,1.74539,1.71438,1.74235,87429.97203,152333.6118
1.64849E+12,3/28/2022 19:00,MATIC/USD,1.74235,1.74243,1.72689,1.73027,52210.69854,90338.60537
1.6485E+12,3/28/2022 20:00,MATIC/USD,1.73027,1.7363,1.72708,1.7363,61741.47638,107201.7254
1.6485E+12,3/28/2022 21:00,MATIC/USD,1.7363,1.74201,1.69824,1.70257,49094.07367,83586.09701
1.6485E+12,3/28/2022 22:00,MATIC/USD,1.70257,1.71316,1.68567,1.68777,82511.60963,139260.6194
1.64851E+12,3/28/2022 23:00,MATIC/USD,1.68777,1.69158,1.65153,1.65595,38831.03125,64302.24619
1.64851E+12,3/29/2022 0:00,MATIC/USD,1.65595,1.6845,1.65592,1.68373,34144.66786,57490.40161
1.64852E+12,3/29/2022 1:00,MATIC/USD,1.68373,1.69653,1.67593,1.69585,27911.88663,47334.37294
1.64852E+12,3/29/2022 2:00,MATIC/USD,1.69585,1.70312,1.68502,1.68502,50688.3749,85410.92547
1.64852E+12,3/29/2022 3:00,MATIC/USD,1.68502,1.68868,1.68153,1.68612,17214.89497,29026.37871
1.64853E+12,3/29/2022 4:00,MATIC/USD,1.68612,1.69421,1.68165,1.69326,8783.738009,14873.15222
1.64853E+12,3/29/2022 5:00,MATIC/USD,1.69326,1.7076,1.69326,1.7076,131289.6516,224190.2092
1.64853E+12,3/29/2022 6:00,MATIC/USD,1.7076,1.71642,1.70372,1.71,47686.88348,81544.57075
1.64854E+12,3/29/2022 7:00,MATIC/USD,1.71,1.71095,1.69577,1.69577,12957.73526,21973.33872
1.64854E+12,3/29/2022 8:00,MATIC/USD,1.69577,1.72219,1.69564,1.71616,39434.63828,67676.14883
1.64854E+12,3/29/2022 9:00,MATIC/USD,1.71616,1.72582,1.71074,1.71194,65482.00933,112101.271
1.64855E+12,3/29/2022 10:00,MATIC/USD,1.71194,1.71718,1.70841,1.71623,19684.63107,33783.35438
1.64855E+12,3/29/2022 11:00,MATIC/USD,1.71623,1.7289,1.71155,1.7283,71576.84165,123706.2554
1.64856E+12,3/29/2022 12:00,MATIC/USD,1.7283,1.73606,1.71907,1.73503,32055.67667,55617.56069
1.64856E+12,3/29/2022 13:00,MATIC/USD,1.73503,1.73624,1.7068,1.71239,94798.37127,162331.783
1.64856E+12,3/29/2022 14:00,MATIC/USD,1.71239,1.72455,1.70672,1.71949,77353.61505,133008.7675
1.64857E+12,3/29/2022 15:00,MATIC/USD,1.71949,1.71995,1.67648,1.68032,52146.87561,87623.43802
1.64857E+12,3/29/2022 16:00,MATIC/USD,1.68032,1.68622,1.65426,1.68314,76705.50316,129106.1006
1.64857E+12,3/29/2022 17:00,MATIC/USD,1.68314,1.68322,1.66278,1.67381,29849.79821,49962.89074
1.64858E+12,3/29/2022 18:00,MATIC/USD,1.67381,1.67998,1.67,1.67794,33767.99566,56660.67063
1.64858E+12,3/29/2022 19:00,MATIC/USD,1.67794,1.69356,1.67509,1.68711,69518.70856,117285.7084
1.64858E+12,3/29/2022 20:00,MATIC/USD,1.68711,1.69296,1.669,1.67793,58155.66834,97581.14057
1.64859E+12,3/29/2022 21:00,MATIC/USD,1.67793,1.68157,1.66227,1.66339,51064.82849,84940.72507
1.64859E+12,3/29/2022 22:00,MATIC/USD,1.66339,1.66667,1.63646,1.66121,298928.3276,496582.7271
1.64859E+12,3/29/2022 23:00,MATIC/USD,1.66121,1.67821,1.65446,1.67677,22246.94591,37303.01149
1.6486E+12,3/30/2022 0:00,MATIC/USD,1.67677,1.67677,1.65075,1.66444,92402.00389,153797.5914
1.6486E+12,3/30/2022 1:00,MATIC/USD,1.66444,1.66444,1.6284,1.63697,43708.36371,71549.28015
1.64861E+12,3/30/2022 2:00,MATIC/USD,1.63697,1.65677,1.63601,1.6549,19429.73307,32154.26526
1.64861E+12,3/30/2022 3:00,MATIC/USD,1.6549,1.66321,1.65468,1.66298,12289.01165,20436.3806
1.64861E+12,3/30/2022 4:00,MATIC/USD,1.66298,1.66518,1.64847,1.65452,10826.25513,17912.25564
1.64862E+12,3/30/2022 5:00,MATIC/USD,1.65452,1.67244,1.65154,1.67244,287444.4912,480733.6649
1.64862E+12,3/30/2022 6:00,MATIC/USD,1.67244,1.67779,1.66767,1.67508,25900.72382,43385.78446
1.64862E+12,3/30/2022 7:00,MATIC/USD,1.67508,1.68193,1.66807,1.68,4649.831714,7811.71728
1.64863E+12,3/30/2022 8:00,MATIC/USD,1.68,1.68528,1.6689,1.6848,55316.82559,93197.78775
1.64863E+12,3/30/2022 9:00,MATIC/USD,1.6848,1.6848,1.67208,1.67578,1210.111755,2027.881077
1.64863E+12,3/30/2022 10:00,MATIC/USD,1.67578,1.68583,1.67229,1.68384,14476.24599,24375.68205
1.64864E+12,3/30/2022 11:00,MATIC/USD,1.68384,1.69333,1.67316,1.69081,18382.78846,31081.80256
1.64864E+12,3/30/2022 12:00,MATIC/USD,1.69081,1.69081,1.67786,1.68984,12685.00463,21435.62822
1.64865E+12,3/30/2022 13:00,MATIC/USD,1.68984,1.68984,1.66121,1.66792,31271.0006,52157.52732
1.64865E+12,3/30/2022 14:00,MATIC/USD,1.66792,1.68158,1.65845,1.67695,44804.93891,75135.6423
1.64865E+12,3/30/2022 15:00,MATIC/USD,1.67695,1.67943,1.66082,1.67943,23581.34745,39603.22235
1.64866E+12,3/30/2022 16:00,MATIC/USD,1.67943,1.71027,1.67943,1.70042,19673.77467,33453.67992
1.64866E+12,3/30/2022 17:00,MATIC/USD,1.70042,1.725,1.69699,1.725,120852.7121,208470.9284
1.64866E+12,3/30/2022 18:00,MATIC/USD,1.725,1.725,1.694,1.694,59204.97975,100293.2357
1.64867E+12,3/30/2022 19:00,MATIC/USD,1.694,1.69863,1.67502,1.68804,98821.02825,166813.8485
1.64867E+12,3/30/2022 20:00,MATIC/USD,1.68804,1.72523,1.68004,1.72478,40014.9084,69016.91371
1.64867E+12,3/30/2022 21:00,MATIC/USD,1.72478,1.72486,1.69835,1.69957,18071.83128,30714.34228
1.64868E+12,3/30/2022 22:00,MATIC/USD,1.69957,1.70491,1.68819,1.69436,14307.82132,24242.60013
1.64868E+12,3/30/2022 23:00,MATIC/USD,1.69436,1.69533,1.68078,1.68409,21648.91258,36458.71719
1.64868E+12,3/31/2022 0:00,MATIC/USD,1.68409,1.70481,1.67836,1.6985,37459.7901,63625.45349
