unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,
1477800000,30-Oct-16,BTC/USD,708.26,710.14,685.04,695.13,923.6567392,642061.5091,30-Oct-16
1477886400,31-Oct-16,BTC/USD,695.13,709.77,694.75,709.54,3426.189957,2431018.822,31-Oct-16
1477972800,1-Nov-16,BTC/USD,709.54,736.61,707.47,725.91,2181.204758,1583358.346,1-Nov-16
1478059200,2-Nov-16,BTC/USD,725.91,746.15,720.04,742.49,2949.6344,2190074.046,2-Nov-16
1478145600,3-Nov-16,BTC/USD,742.49,743.35,674.98,701.61,4492.012727,3151641.05,3-Nov-16
1478232000,4-Nov-16,BTC/USD,701.61,707.83,689.73,704.66,3344.262251,2356567.838,4-Nov-16
1478318400,5-Nov-16,BTC/USD,704.66,712,698,712,957.3204128,681612.1339,5-Nov-16
1478404800,6-Nov-16,BTC/USD,712,714.91,698.85,706.1,939.1923345,663163.7074,6-Nov-16
1478491200,7-Nov-16,BTC/USD,706.1,709.95,701.24,709.01,3076.548849,2181303.899,7-Nov-16
1478577600,8-Nov-16,BTC/USD,709.01,730.6,704.01,730.38,3250.408897,2374033.65,8-Nov-16
1478664000,9-Nov-16,BTC/USD,730.38,739.85,718.33,719.02,2651.682694,1906612.891,9-Nov-16
1478750400,10-Nov-16,BTC/USD,719.02,719.18,705.99,711.66,3151.177871,2242567.244,10-Nov-16
1478836800,11-Nov-16,BTC/USD,711.66,718.07,711.66,715.21,1665.758595,1191367.205,11-Nov-16
1478923200,12-Nov-16,BTC/USD,715.21,715.22,693,695.01,677.4084014,470805.6131,12-Nov-16
1479009600,13-Nov-16,BTC/USD,695.01,704.54,684.46,704.54,755.7757998,532474.282,13-Nov-16
1479096000,14-Nov-16,BTC/USD,704.54,714.97,696.37,712.73,1718.318054,1224696.827,14-Nov-16
1479182400,15-Nov-16,BTC/USD,712.73,716.85,709.27,711.9,2624.926327,1868685.052,15-Nov-16
1479268800,16-Nov-16,BTC/USD,711.9,742.99,710.36,742.99,3406.983191,2531354.441,16-Nov-16
1479355200,17-Nov-16,BTC/USD,742.99,750,733.5,738.6,2688.356745,1985620.292,17-Nov-16
1479441600,18-Nov-16,BTC/USD,738.6,750,738.6,749.98,1291.382928,968511.3684,18-Nov-16
1479528000,19-Nov-16,BTC/USD,749.98,755.5,745,751.99,558.3627559,419883.2088,19-Nov-16
