unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.66788E+12,11/8/2022 4:00,SOL/USD,26.659,27.745,26.308,27.018,23836.08209,644003.266
1.66788E+12,11/8/2022 5:00,SOL/USD,27.018,27.167,24.826,26.149,44018.51717,1151040.205
1.66789E+12,11/8/2022 6:00,SOL/USD,26.149,28.601,25.804,27.803,36937.38906,1026970.228
1.66789E+12,11/8/2022 7:00,SOL/USD,27.803,28.275,27.405,27.944,14248.12674,398149.6535
1.66789E+12,11/8/2022 8:00,SOL/USD,27.944,28.52,27.78,28.158,10369.53523,291985.3729
1.6679E+12,11/8/2022 9:00,SOL/USD,28.158,29.057,28.117,28.738,14882.39503,427690.2684
1.6679E+12,11/8/2022 10:00,SOL/USD,28.738,28.738,28.157,28.247,4115.53444,116251.5013
1.66791E+12,11/8/2022 11:00,SOL/USD,28.247,28.559,27.891,28.015,11919.84986,333934.5937
1.66791E+12,11/8/2022 12:00,SOL/USD,28.015,28.479,27.976,28.471,4346.541231,123750.3754
1.66791E+12,11/8/2022 13:00,SOL/USD,28.471,28.488,27.372,27.372,5373.703148,147089.0026
1.66792E+12,11/8/2022 14:00,SOL/USD,27.372,28.092,26.648,27.258,20032.32756,546041.1847
1.66792E+12,11/8/2022 15:00,SOL/USD,27.258,27.692,26.645,27.67,14146.8399,391443.0599
1.66792E+12,11/8/2022 16:00,SOL/USD,27.67,31.733,27.475,29.185,73115.36743,2133871.998
1.66793E+12,11/8/2022 17:00,SOL/USD,29.185,29.395,25.037,25.393,105454.494,2677805.966
1.66793E+12,11/8/2022 18:00,SOL/USD,25.393,26.016,23.04,24.386,78952.39575,1925333.123
1.66793E+12,11/8/2022 19:00,SOL/USD,24.386,24.97,21.5,24.019,100676.755,2418154.979
1.66794E+12,11/8/2022 20:00,SOL/USD,24.019,24.414,23.312,23.693,29801.84726,706095.1672
1.66794E+12,11/8/2022 21:00,SOL/USD,23.693,24.057,23.254,23.878,19898.62368,475139.3361
1.66794E+12,11/8/2022 22:00,SOL/USD,23.878,24.257,23.358,23.519,11674.61147,274575.1872
1.66795E+12,11/8/2022 23:00,SOL/USD,23.519,24.736,23.359,24.359,9199.330891,224086.5012
1.66795E+12,11/9/2022 0:00,SOL/USD,24.359,24.359,23.48,23.481,23591.79741,553958.9949
1.66796E+12,11/9/2022 1:00,SOL/USD,23.481,23.754,22.673,22.744,13253.48767,301437.3235
1.66796E+12,11/9/2022 2:00,SOL/USD,22.744,23.313,21.937,21.975,12947.73397,284526.4541
1.66796E+12,11/9/2022 3:00,SOL/USD,21.975,22.254,20.5,22.096,25943.519,573247.9958
1.66797E+12,11/9/2022 4:00,SOL/USD,22.096,22.13,21.487,21.714,17022.85779,369634.334
1.66797E+12,11/9/2022 5:00,SOL/USD,21.714,22.472,20.06,20.274,30219.24704,612665.0145
1.66797E+12,11/9/2022 6:00,SOL/USD,20.274,20.949,19.93,20.153,19022.76576,383365.7983
1.66798E+12,11/9/2022 7:00,SOL/USD,20.153,20.438,18.95,19.16,48179.30847,923115.5503
1.66798E+12,11/9/2022 8:00,SOL/USD,19.16,19.16,17.431,18.587,36378.71145,676171.1096
1.66798E+12,11/9/2022 9:00,SOL/USD,18.587,18.587,16.712,17.169,26034.56116,446987.3806
1.66799E+12,11/9/2022 10:00,SOL/USD,17.169,18.023,15.75,17.678,30374.7747,536965.2672
1.66799E+12,11/9/2022 11:00,SOL/USD,17.678,21.027,17.6,20.2,17979.77655,363191.4863
1.668E+12,11/9/2022 12:00,SOL/USD,20.2,21.284,19.217,19.508,12134.89995,236727.6282
1.668E+12,11/9/2022 13:00,SOL/USD,19.508,19.782,18.1,18.116,15519.19009,281145.6477
1.668E+12,11/9/2022 14:00,SOL/USD,18.116,18.95,17,18.429,14575.98656,268620.8563
1.66801E+12,11/9/2022 15:00,SOL/USD,18.429,19.15,15.56,16,22405.81858,358493.0973
1.66801E+12,11/9/2022 16:00,SOL/USD,16,17.5,15,16.592,24668.40061,409298.103
1.66801E+12,11/9/2022 17:00,SOL/USD,16.592,17.156,15.46,16.006,19825.75468,317331.0293
1.66802E+12,11/9/2022 18:00,SOL/USD,16.006,16.189,12.58,13.9,43883.79296,609984.7222
1.66802E+12,11/9/2022 19:00,SOL/USD,13.9,14.9,12.57,13.71,34125.33433,467858.3337
1.66802E+12,11/9/2022 20:00,SOL/USD,13.71,14.87,13.1,14.47,16880.25741,244257.3247
1.66803E+12,11/9/2022 21:00,SOL/USD,14.47,14.47,11.73,12.1,28758.36918,347976.2671
